feature,mean_abs_shap,algo,regime,seed,source_file
s_1,0.0349521375145124,reinforce,rulebook,2,shap_reinforce_rulebook_seed=2.csv
s_0,0.0308210879552319,reinforce,rulebook,2,shap_reinforce_rulebook_seed=2.csv
s_0,0.0301803812903835,reinforce,rulebook,1,shap_reinforce_rulebook_seed=1.csv
s_17,0.0753732036483357,reinforce,safe,0,shap_reinforce_safe_seed=0.csv
s_1,0.0695289300964849,reinforce,safe,2,shap_reinforce_safe_seed=2.csv
s_0,0.0672306316624565,reinforce,safe,2,shap_reinforce_safe_seed=2.csv
s_0,0.0396338957987706,reinforce,safe,0,shap_reinforce_safe_seed=0.csv
s_5,0.039156162685782,reinforce,safe,1,shap_reinforce_safe_seed=1.csv
s_7,0.0293107179798621,reinforce,safe,0,shap_reinforce_safe_seed=0.csv
s_5,0.0287841821669812,reinforce,safe,2,shap_reinforce_safe_seed=2.csv
s_7,0.0283558950681496,reinforce,safe,1,shap_reinforce_safe_seed=1.csv
s_7,0.026380970435994,reinforce,safe,2,shap_reinforce_safe_seed=2.csv
s_16,0.0235359705306536,reinforce,safe,1,shap_reinforce_safe_seed=1.csv
s_6,0.0664660583002581,reinforce,unconstrained,1,shap_reinforce_unconstrained_seed=1.csv
s_16,0.0552235431624815,reinforce,unconstrained,2,shap_reinforce_unconstrained_seed=2.csv
s_5,0.0530546515229317,reinforce,unconstrained,1,shap_reinforce_unconstrained_seed=1.csv
s_5,0.0495683863349919,reinforce,unconstrained,2,shap_reinforce_unconstrained_seed=2.csv
s_6,0.0478888732820686,reinforce,unconstrained,0,shap_reinforce_unconstrained_seed=0.csv
s_0,0.0453432662953801,reinforce,unconstrained,2,shap_reinforce_unconstrained_seed=2.csv
s_1,0.0439625817713969,reinforce,unconstrained,2,shap_reinforce_unconstrained_seed=2.csv
s_6,0.0361043547914975,reinforce,unconstrained,2,shap_reinforce_unconstrained_seed=2.csv
s_0,0.0296258122620389,reinforce,unconstrained,0,shap_reinforce_unconstrained_seed=0.csv
s_7,0.0278075709133153,reinforce,unconstrained,2,shap_reinforce_unconstrained_seed=2.csv
s_12,0.7215686633563189,sarsa,rulebook,1,shap_sarsa_rulebook_seed=1.csv
s_6,0.6309777858713691,sarsa,rulebook,2,shap_sarsa_rulebook_seed=2.csv
s_5,0.5702223996666486,sarsa,rulebook,2,shap_sarsa_rulebook_seed=2.csv
s_5,0.4381380361733687,sarsa,rulebook,1,shap_sarsa_rulebook_seed=1.csv
s_16,0.4188229166431648,sarsa,rulebook,2,shap_sarsa_rulebook_seed=2.csv
s_7,0.3147882026422577,sarsa,rulebook,2,shap_sarsa_rulebook_seed=2.csv
s_7,0.3061159733786471,sarsa,rulebook,1,shap_sarsa_rulebook_seed=1.csv
s_1,0.3055864012467292,sarsa,rulebook,2,shap_sarsa_rulebook_seed=2.csv
s_0,0.2809004016331276,sarsa,rulebook,2,shap_sarsa_rulebook_seed=2.csv
s_2,0.2287607123340878,sarsa,rulebook,2,shap_sarsa_rulebook_seed=2.csv
