feature,mean_abs_shap,algo,regime,seed,source_file
fuel_norm,0.2093045416342104,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
track_status_0,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
track_status_1,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
track_status_2,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
tyre_compound_0,0.0838849864828002,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
tyre_compound_1,1.0730591756862549,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
tyre_compound_2,0.3710788330464038,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
tyre_compound_3,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
tyre_compound_4,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
risk_indicator,0.0819450069396006,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
pit_count_norm,0.0626133161663558,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
lap_fraction,0.4159362192983009,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
race_time_norm,0.2904951028857638,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
pos_norm,0.2110253934297395,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
gap_ahead,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
gap_behind,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
tyre_age_norm,0.4038303459583292,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
tyre_wear,0.4863090987129165,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
fuel_norm,0.4739036867447989,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
track_status_0,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
track_status_1,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
track_status_2,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
tyre_compound_0,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
tyre_compound_1,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
tyre_compound_2,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
tyre_compound_3,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
tyre_compound_4,0.0,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
risk_indicator,0.6428809945043769,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
pit_count_norm,0.6359402205144508,dqn,rulebook,2,shap_dqn_rulebook_seed=2.csv
lap_fraction,0.2351938247889462,dqn,safe,0,shap_dqn_safe_seed=0.csv
race_time_norm,0.2266886490237423,dqn,safe,0,shap_dqn_safe_seed=0.csv
pos_norm,0.2087469780190788,dqn,safe,0,shap_dqn_safe_seed=0.csv
gap_ahead,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
gap_behind,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
tyre_age_norm,0.412817243078012,dqn,safe,0,shap_dqn_safe_seed=0.csv
tyre_wear,0.3597432025715831,dqn,safe,0,shap_dqn_safe_seed=0.csv
fuel_norm,0.3894682201859372,dqn,safe,0,shap_dqn_safe_seed=0.csv
track_status_0,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
track_status_1,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
track_status_2,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
tyre_compound_0,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
tyre_compound_1,0.0119896896401286,dqn,safe,0,shap_dqn_safe_seed=0.csv
tyre_compound_2,0.0150114101064517,dqn,safe,0,shap_dqn_safe_seed=0.csv
tyre_compound_3,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
tyre_compound_4,0.0,dqn,safe,0,shap_dqn_safe_seed=0.csv
risk_indicator,0.3737752829803054,dqn,safe,0,shap_dqn_safe_seed=0.csv
pit_count_norm,0.0042907608244137,dqn,safe,0,shap_dqn_safe_seed=0.csv
lap_fraction,0.4300173386120562,dqn,safe,1,shap_dqn_safe_seed=1.csv
race_time_norm,0.3096309280060603,dqn,safe,1,shap_dqn_safe_seed=1.csv
pos_norm,0.4058174158986368,dqn,safe,1,shap_dqn_safe_seed=1.csv
gap_ahead,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
gap_behind,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
tyre_age_norm,0.1768012367859966,dqn,safe,1,shap_dqn_safe_seed=1.csv
tyre_wear,0.1283471306553498,dqn,safe,1,shap_dqn_safe_seed=1.csv
fuel_norm,0.0578251487057721,dqn,safe,1,shap_dqn_safe_seed=1.csv
track_status_0,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
track_status_1,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
track_status_2,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
tyre_compound_0,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
tyre_compound_1,0.0074641673924404,dqn,safe,1,shap_dqn_safe_seed=1.csv
tyre_compound_2,0.1127321083599179,dqn,safe,1,shap_dqn_safe_seed=1.csv
tyre_compound_3,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
tyre_compound_4,0.0,dqn,safe,1,shap_dqn_safe_seed=1.csv
risk_indicator,0.2433040544701309,dqn,safe,1,shap_dqn_safe_seed=1.csv
pit_count_norm,0.0236210240292103,dqn,safe,1,shap_dqn_safe_seed=1.csv
lap_fraction,0.4729722858348278,dqn,safe,2,shap_dqn_safe_seed=2.csv
race_time_norm,0.2909797181185041,dqn,safe,2,shap_dqn_safe_seed=2.csv
pos_norm,0.3118769580455381,dqn,safe,2,shap_dqn_safe_seed=2.csv
gap_ahead,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
gap_behind,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
tyre_age_norm,0.5241991138824319,dqn,safe,2,shap_dqn_safe_seed=2.csv
tyre_wear,0.5258319850558771,dqn,safe,2,shap_dqn_safe_seed=2.csv
fuel_norm,0.4240734252185765,dqn,safe,2,shap_dqn_safe_seed=2.csv
track_status_0,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
track_status_1,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
track_status_2,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
tyre_compound_0,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
tyre_compound_1,0.1144529162522332,dqn,safe,2,shap_dqn_safe_seed=2.csv
tyre_compound_2,0.0587883039512777,dqn,safe,2,shap_dqn_safe_seed=2.csv
tyre_compound_3,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
tyre_compound_4,0.0,dqn,safe,2,shap_dqn_safe_seed=2.csv
risk_indicator,0.0887996162177817,dqn,safe,2,shap_dqn_safe_seed=2.csv
pit_count_norm,0.0793247859932343,dqn,safe,2,shap_dqn_safe_seed=2.csv
lap_fraction,0.1885108985463203,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
race_time_norm,0.1787443191854432,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
pos_norm,0.1506561812589051,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
gap_ahead,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
gap_behind,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
tyre_age_norm,0.1695531891740555,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
tyre_wear,0.1649391999403346,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
fuel_norm,0.2788259096248182,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
track_status_0,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
track_status_1,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
track_status_2,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
tyre_compound_0,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
tyre_compound_1,0.0875243481454637,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
tyre_compound_2,0.1471664778938179,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
tyre_compound_3,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
tyre_compound_4,0.0,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
risk_indicator,0.3022523993094462,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
pit_count_norm,0.0365985182500181,dqn,unconstrained,0,shap_dqn_unconstrained_seed=0.csv
lap_fraction,0.3221477987938826,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
race_time_norm,0.2521945988594914,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
pos_norm,0.0636518167693294,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
gap_ahead,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
gap_behind,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
tyre_age_norm,0.4470938818487066,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
tyre_wear,0.4769815601650266,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
fuel_norm,0.3733107609278174,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
track_status_0,0.0063157718860587,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
track_status_1,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
track_status_2,0.0091001966893137,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
tyre_compound_0,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
